strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S1_V2_FOUNDATION,all,2022-04-13,164094.0135192871,129000.0,293094.0135192871,0.44013181453640005,2
S1_V2_FOUNDATION,all,2022-04-14,118654.01351928711,175040.00549316406,293694.0190124512,0.5959944505568676,3
S1_V2_FOUNDATION,all,2022-04-15,164074.01473999023,130289.99633789062,294364.01107788086,0.4426152363558444,2
S1_V2_FOUNDATION,all,2022-04-18,164074.01473999023,130639.99633789062,294714.01107788086,0.4432771820385825,2
S1_V2_FOUNDATION,all,2022-04-19,164074.01473999023,131259.99755859375,295334.012298584,0.44444592255730203,2
S1_V2_FOUNDATION,all,2022-04-20,164074.01473999023,134610.00366210938,298684.0184020996,0.4506769541344939,2
S1_V2_FOUNDATION,all,2022-04-21,164074.01473999023,135109.99755859375,299184.012298584,0.45159497835651297,2
S1_V2_FOUNDATION,all,2022-04-22,164074.01473999023,133560.00366210938,297634.0184020996,0.44873903990931435,2
S1_V2_FOUNDATION,all,2022-04-25,164074.01473999023,131989.99633789062,296064.01107788086,0.44581574051285183,2
S1_V2_FOUNDATION,all,2022-04-26,164074.01473999023,130440.00244140625,294514.0171813965,0.44289913155836624,2
S1_V2_FOUNDATION,all,2022-04-27,164074.01473999023,129010.00366210938,293084.0184020996,0.44018095686511566,2
S1_V2_FOUNDATION,all,2022-04-28,164074.01473999023,131920.00122070312,295994.01596069336,0.445684689916912,2
S1_V2_FOUNDATION,all,2022-05-02,44014.01107788086,249910.00061035156,293924.0116882324,0.8502537753718233,4
S1_V2_FOUNDATION,all,2022-05-06,85044.00985717773,213210.00366210938,298254.0135192871,0.7148604679156204,3
S1_V2_FOUNDATION,all,2022-05-09,85044.00985717773,209190.00244140625,294234.012298584,0.7109647209280604,3
S1_V2_FOUNDATION,all,2022-05-10,160444.00985717773,129610.00366210938,290054.0135192871,0.44684782013364893,2
S1_V2_FOUNDATION,all,2022-05-11,160444.00985717773,124450.0,284894.00985717773,0.43682912133669966,2
S1_V2_FOUNDATION,all,2022-05-12,286074.0086364746,0.0,286074.0086364746,0.0,0
S1_V2_FOUNDATION,all,2022-05-13,14807.34603881836,275233.33740234375,290040.6834411621,0.9489473481335863,2
S1_V2_FOUNDATION,all,2022-05-16,131397.34603881836,156041.66259765625,287439.0086364746,0.5428687753199247,2
S1_V2_FOUNDATION,all,2022-05-17,145967.34573364258,142566.66259765625,288534.0083312988,0.49410696306537005,1
S1_V2_FOUNDATION,all,2022-05-18,145967.34573364258,143166.66259765625,289134.0083312988,0.4951567732344076,1
S1_V2_FOUNDATION,all,2022-05-19,285134.0083312988,0.0,285134.0083312988,0.0,0
S1_V2_FOUNDATION,all,2022-05-20,285134.0083312988,0.0,285134.0083312988,0.0,0
S1_V2_FOUNDATION,all,2022-05-23,128884.00833129883,156250.0,285134.0083312988,0.5479879475423789,1
S1_V2_FOUNDATION,all,2022-05-24,54654.00955200195,230150.0,284804.00955200195,0.8080995782398817,2
S1_V2_FOUNDATION,all,2022-05-25,128154.00955200195,158700.0,286854.00955200195,0.5532430947988206,1
S1_V2_FOUNDATION,all,2022-05-26,128154.00955200195,158250.0,286404.00955200195,0.5525411471981043,1
S1_V2_FOUNDATION,all,2022-05-27,53604.00955200195,231379.99877929688,284984.0083312988,0.8119052017484211,2
S1_V2_FOUNDATION,all,2022-05-30,127204.00955200195,159400.0,286604.00955200195,0.5561680740236754,1
S1_V2_FOUNDATION,all,2022-05-31,127204.00955200195,161600.0,288804.00955200195,0.559549018210228,1
S1_V2_FOUNDATION,all,2022-06-01,127204.00955200195,164150.0,291354.00955200195,0.5634039505837035,1
S1_V2_FOUNDATION,all,2022-06-02,127204.00955200195,163100.0,290304.00955200195,0.5618248271930395,1
S1_V2_FOUNDATION,all,2022-06-03,127204.00955200195,162800.0,290004.00955200195,0.561371548798561,1
S1_V2_FOUNDATION,all,2022-06-06,127204.00955200195,165450.0,292654.00955200195,0.5653433563178332,1
S1_V2_FOUNDATION,all,2022-06-07,127204.00955200195,166700.0,293904.00955200195,0.5671919898408359,1
S1_V2_FOUNDATION,all,2022-06-08,127204.00955200195,172050.0,299254.00955200195,0.574929640065867,1
S1_V2_FOUNDATION,all,2022-06-09,127204.00955200195,175550.0,302754.00955200195,0.5798436831927307,1
S1_V2_FOUNDATION,all,2022-06-10,127204.00955200195,172950.0,300154.00955200195,0.5762041968326139,1
S1_V2_FOUNDATION,all,2022-06-13,127204.00955200195,167800.0,295004.00955200195,0.5688058282828898,1
S1_V2_FOUNDATION,all,2022-06-14,127204.00955200195,165750.0,292954.00955200195,0.5657884671162963,1
S1_V2_FOUNDATION,all,2022-06-15,127204.00955200195,160650.0,287854.00955200195,0.558095404854793,1
S1_V2_FOUNDATION,all,2022-06-16,127204.00955200195,163700.0,290904.00955200195,0.5627285792729406,1
S1_V2_FOUNDATION,all,2022-06-17,127204.00955200195,159700.0,286904.00955200195,0.556632165055379,1
S1_V2_FOUNDATION,all,2022-06-20,282404.00955200195,0.0,282404.00955200195,0.0,0
S1_V2_FOUNDATION,all,2022-06-21,267624.0092468262,14880.000305175781,282504.00955200195,0.05267181987530957,1
S1_V2_FOUNDATION,all,2022-06-22,3636.509246826172,276144.9996948242,279781.5089416504,0.9870023245618259,3
S1_V2_FOUNDATION,all,2022-06-23,67386.50924682617,212964.99938964844,280351.5086364746,0.759635646069575,2
S1_V2_FOUNDATION,all,2022-06-24,67386.50924682617,220719.99969482422,288106.5089416504,0.7661055645900946,2
S1_V2_FOUNDATION,all,2022-06-27,67386.50924682617,221485.00061035156,288871.50985717773,0.7667249730506721,2
S1_V2_FOUNDATION,all,2022-06-28,67386.50924682617,220739.99938964844,288126.5086364746,0.7661217998797645,2
S1_V2_FOUNDATION,all,2022-06-29,2836.509246826172,283125.0,285961.5092468262,0.9900808005444612,3
S1_V2_FOUNDATION,all,2022-06-30,65686.50924682617,219464.99938964844,285151.5086364746,0.7696434798436693,2
S1_V2_FOUNDATION,all,2022-07-01,65686.50924682617,215714.99938964844,281401.5086364746,0.7665737132501214,2
S1_V2_FOUNDATION,all,2022-07-04,65686.50924682617,218350.0,284036.5092468262,0.7687392039107728,2
S1_V2_FOUNDATION,all,2022-07-05,65686.50924682617,220280.00030517578,285966.50955200195,0.7702999929966229,2
S1_V2_FOUNDATION,all,2022-07-06,65686.50924682617,220100.0,285786.5092468262,0.7701553183180718,2
S1_V2_FOUNDATION,all,2022-07-07,65686.50924682617,226100.0,291786.5092468262,0.7748816097893647,2
S1_V2_FOUNDATION,all,2022-07-08,29186.509246826172,260037.5,289224.0092468262,0.8990868381818254,3
S1_V2_FOUNDATION,all,2022-07-11,29186.509246826172,265580.0003051758,294766.50955200195,0.9009843102895746,3
S1_V2_FOUNDATION,all,2022-07-12,29186.509246826172,262372.50061035156,291559.00985717773,0.8998950186409146,3
S1_V2_FOUNDATION,all,2022-07-13,29186.509246826172,264344.9996948242,293531.5089416504,0.9005677129788884,3
S1_V2_FOUNDATION,all,2022-07-14,65136.50924682617,230560.00061035156,295696.50985717773,0.7797183697626756,2
S1_V2_FOUNDATION,all,2022-07-15,65136.50924682617,231905.00030517578,297041.50955200195,0.7807158018249198,2
S1_V2_FOUNDATION,all,2022-07-19,65136.50924682617,231394.99969482422,296531.5089416504,0.7803386578400904,2
S1_V2_FOUNDATION,all,2022-07-20,14306.510467529297,288005.0003051758,302311.5107727051,0.9526762628688468,3
S1_V2_FOUNDATION,all,2022-07-21,14306.510467529297,291085.00061035156,305391.51107788086,0.9531535424248225,3
S1_V2_FOUNDATION,all,2022-07-22,64046.509857177734,241639.99938964844,305686.5092468262,0.790483034351171,2
S1_V2_FOUNDATION,all,2022-07-25,64046.509857177734,240414.99938964844,304461.5092468262,0.7896400434471492,2
S1_V2_FOUNDATION,all,2022-07-26,64046.509857177734,235080.00030517578,299126.5101623535,0.7858882189264471,2
S1_V2_FOUNDATION,all,2022-07-27,64046.509857177734,238455.00030517578,302501.5101623535,0.788277057450709,2
S1_V2_FOUNDATION,all,2022-07-28,64046.509857177734,241369.99969482422,305416.50955200195,0.7902978134642299,2
S1_V2_FOUNDATION,all,2022-07-29,64046.509857177734,241935.00061035156,305981.5104675293,0.7906850327024112,2
S1_V2_FOUNDATION,all,2022-08-01,64046.509857177734,240985.00061035156,305031.5104675293,0.7900331353996443,2
S1_V2_FOUNDATION,all,2022-08-02,64046.509857177734,235135.00061035156,299181.5104675293,0.7859275803605222,2
S1_V2_FOUNDATION,all,2022-08-03,64046.509857177734,239085.00061035156,303131.5104675293,0.7887170826998593,2
S1_V2_FOUNDATION,all,2022-08-04,64046.509857177734,239914.99938964844,303961.5092468262,0.7892940128640762,2
S1_V2_FOUNDATION,all,2022-08-05,64046.509857177734,236139.99938964844,300186.5092468262,0.7866442765270442,2
S1_V2_FOUNDATION,all,2022-08-08,64046.509857177734,235575.0,299621.50985717773,0.7862419494257701,2
S1_V2_FOUNDATION,all,2022-08-09,64046.509857177734,235250.0,299296.50985717773,0.7860098339010358,2
S1_V2_FOUNDATION,all,2022-08-10,64046.509857177734,231875.0,295921.50985717773,0.7835692650794839,2
S1_V2_FOUNDATION,all,2022-08-12,64046.509857177734,240539.99938964844,304586.5092468262,0.7897263735824993,2
S1_V2_FOUNDATION,all,2022-08-15,64046.509857177734,246714.99938964844,310761.5092468262,0.7939046247638475,2
S1_V2_FOUNDATION,all,2022-08-16,64046.509857177734,249485.00061035156,313531.5104675293,0.7957254447513955,2
S1_V2_FOUNDATION,all,2022-08-17,64046.509857177734,251514.99938964844,315561.5092468262,0.7970395375214099,2
S1_V2_FOUNDATION,all,2022-08-18,64046.509857177734,246035.00061035156,310081.5104675293,0.7934526642346046,2
S1_V2_FOUNDATION,all,2022-08-19,64046.509857177734,246644.99969482422,310691.50955200195,0.7938581908803081,2
S1_V2_FOUNDATION,all,2022-08-22,64046.509857177734,245505.00030517578,309551.5101623535,0.7930990230879938,2
S1_V2_FOUNDATION,all,2022-08-23,64046.509857177734,240644.99969482422,304691.50955200195,0.7897988363661743,2
S1_V2_FOUNDATION,all,2022-08-24,64046.509857177734,242400.0,306446.50985717773,0.7910026454958576,2
S1_V2_FOUNDATION,all,2022-08-25,64046.509857177734,246185.00061035156,310231.5104675293,0.7935525319118696,2
S1_V2_FOUNDATION,all,2022-08-26,64046.509857177734,248769.99969482422,312816.50955200195,0.795258536869101,2
S1_V2_FOUNDATION,all,2022-08-29,64046.509857177734,237444.99969482422,301491.50955200195,0.787567782746695,2
S1_V2_FOUNDATION,all,2022-08-30,79116.50955200195,224450.0,303566.50955200195,0.7393766866155272,1
S1_V2_FOUNDATION,all,2022-08-31,79116.50955200195,225300.0,304416.50955200195,0.7401044060703715,1
S1_V2_FOUNDATION,all,2022-09-01,79116.50955200195,224400.0,303516.50955200195,0.7393337526555642,1
S1_V2_FOUNDATION,all,2022-09-02,79116.50955200195,224050.0,303166.50955200195,0.7390328184042666,1
S1_V2_FOUNDATION,all,2022-09-05,79116.50955200195,221450.0,300566.50955200195,0.736775365725456,1
