strategy,phase,code,signal_date,entry_date,entry_price,entry_shares,entry_cost_jpy,initial_stop,exit_date,exit_price,exit_shares,exit_reason,pnl_jpy,trade_return,holding_calendar_days
S1_V2_FOUNDATION,discovery,4188,2023-06-02,2023-06-05,813.2000122070312,100.0,81320.00122070312,793.2,2023-10-23,859.9000244140625,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,4670.001220703125,0.05742746127153521,140
S1_V2_FOUNDATION,discovery,8604,2023-10-27,2023-10-30,585.0,100.0,58500.0,579.5,2023-10-31,576.9000244140625,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-809.99755859375,-0.013846112112713676,1
S1_V2_FOUNDATION,discovery,8591,2023-10-31,2023-11-01,2765.0,100.0,276500.0,2717.5,2023-11-02,2717.5,100.0,STOP_INTRADAY,-4750.0,-0.017179023508137433,1
S1_V2_FOUNDATION,discovery,8267,2023-11-22,2023-11-24,1031.6666259765625,100.0,103166.66259765625,1020.0,2023-11-29,1020.0,100.0,STOP_INTRADAY,-1166.66259765625,-0.011308523201978178,5
S1_V2_FOUNDATION,discovery,9432,2023-11-09,2023-11-10,170.60000000000002,100.0,17060.000000000004,170.5,2023-11-30,172.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,139.99999999999636,0.008206330597889586,20
S1_V2_FOUNDATION,discovery,8267,2023-11-30,2023-12-01,1024.6666259765625,100.0,102466.66259765625,1019.5,2023-12-04,1019.5,100.0,STOP_INTRADAY,-516.66259765625,-0.0050422506653209544,3
S1_V2_FOUNDATION,discovery,8604,2023-10-31,2023-11-01,591.0999755859375,100.0,59109.99755859375,580.7,2023-12-11,605.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1390.00244140625,0.023515521888296264,40
S1_V2_FOUNDATION,discovery,5802,2023-12-11,2023-12-12,457.875,100.0,45787.5,442.0,2023-12-14,442.0,100.0,STOP_INTRADAY,-1587.5,-0.03467103467103467,2
S1_V2_FOUNDATION,discovery,8267,2023-12-14,2023-12-15,1021.6666870117188,100.0,102166.66870117188,1019.0,2023-12-18,1019.0,100.0,STOP_INTRADAY,-266.668701171875,-0.002610134054109726,3
S1_V2_FOUNDATION,discovery,5802,2023-12-15,2023-12-18,442.20000000000005,100.0,44220.00000000001,442.1,2023-12-19,438.75,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-345.0000000000073,-0.007801899592944532,1
S1_V2_FOUNDATION,discovery,6178,2023-12-18,2023-12-19,1280.0,100.0,128000.0,1266.0,2023-12-20,1266.0,100.0,STOP_GAP_OPEN,-1400.0,-0.0109375,1
S1_V2_FOUNDATION,discovery,8697,2023-12-19,2023-12-20,1446.25,100.0,144625.0,1444.5,2023-12-22,1444.5,100.0,STOP_INTRADAY,-175.0,-0.0012100259291270526,2
S1_V2_FOUNDATION,discovery,6178,2023-12-22,2023-12-25,1275.0,100.0,127500.0,1272.5,2023-12-26,1257.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1800.0,-0.01411764705882353,1
S1_V2_FOUNDATION,discovery,8697,2023-12-28,2023-12-29,1472.25,100.0,147225.0,1458.5,2024-01-04,1458.5,100.0,STOP_INTRADAY,-1375.0,-0.009339446425539142,6
S1_V2_FOUNDATION,discovery,3407,2024-02-13,2024-02-14,1045.5,100.0,104550.0,1034.0,2024-02-15,1023.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-2250.0,-0.021520803443328552,1
S1_V2_FOUNDATION,discovery,3407,2024-02-19,2024-02-20,1055.5,100.0,105550.0,1040.0,2024-02-21,1040.0,100.0,STOP_INTRADAY,-1550.0,-0.01468498342018001,1
S1_V2_FOUNDATION,discovery,8001,2024-03-14,2024-03-15,1260.800048828125,100.0,126080.0048828125,1256.0,2024-04-03,1260.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-80.0048828125,-0.0006345564698134497,19
S1_V2_FOUNDATION,discovery,9434,2023-12-26,2023-12-27,173.75,100.0,17375.0,173.3,2024-04-09,191.75,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1800.0,0.10359712230215827,104
S1_V2_FOUNDATION,discovery,6752,2024-04-09,2024-04-10,1413.0,100.0,141300.0,1412.5,2024-04-11,1393.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1950.0,-0.013800424628450107,1
S1_V2_FOUNDATION,discovery,3407,2024-04-30,2024-05-01,1100.0,100.0,110000.0,1089.0,2024-05-08,1089.0,100.0,STOP_INTRADAY,-1100.0,-0.01,7
S1_V2_FOUNDATION,discovery,7267,2023-11-02,2023-11-06,1613.0,100.0,161300.0,907.1,2024-05-09,1767.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,15400.0,0.09547427154370738,185
S1_V2_FOUNDATION,discovery,8053,2024-06-25,2024-06-26,991.0,100.0,99100.0,971.5,2024-07-22,1000.25,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,925.0,0.009334006054490415,26
S1_V2_FOUNDATION,discovery,6702,2024-05-09,2024-05-10,2399.5,100.0,239950.0,1091.0,2024-07-26,2678.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,27850.0,0.11606584705146905,77
S1_V2_FOUNDATION,validation,9434,2024-09-19,2024-09-20,198.3000030517578,100.0,19830.00030517578,197.3,2024-09-25,197.3,100.0,STOP_INTRADAY,-100.00030517578125,-0.005042879658941831,5
S1_V2_FOUNDATION,validation,7011,2024-09-12,2024-09-13,1733.5,100.0,173350.0,1733.5,2025-01-10,2158.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,42450.0,0.24488029997115662,119
S1_V2_FOUNDATION,validation,8308,2025-01-15,2025-01-16,1134.0,100.0,113400.0,1119.5,2025-01-17,1111.0,100.0,STOP_GAP_OPEN,-2300.0,-0.020282186948853614,1
S1_V2_FOUNDATION,validation,9434,2024-09-26,2024-09-27,193.3000030517578,100.0,19330.00030517578,22.0,2025-01-21,192.60000610351562,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-69.99969482421875,-0.003621298174810463,116
S1_V2_FOUNDATION,validation,8308,2025-01-20,2025-01-21,1152.0,100.0,115200.0,1126.5,2025-01-22,1126.5,100.0,STOP_INTRADAY,-2550.0,-0.022135416666666668,1
S1_V2_FOUNDATION,validation,8308,2025-01-24,2025-01-27,1149.0,100.0,114900.0,1134.5,2025-01-28,1117.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-3200.0,-0.0278503046127067,1
S1_V2_FOUNDATION,validation,9432,2025-01-27,2025-01-28,153.60000610351562,100.0,15360.000610351562,152.3,2025-01-30,152.3,100.0,STOP_INTRADAY,-130.00061035156068,-0.008463581066783903,2
S1_V2_FOUNDATION,validation,8053,2025-02-18,2025-02-19,826.75,100.0,82675.0,825.6,2025-02-20,814.75,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1200.0,-0.01451466586029634,1
S1_V2_FOUNDATION,validation,5802,2025-01-29,2025-01-30,688.75,100.0,68875.0,680.4000000000001,2025-02-21,687.875,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-87.5,-0.0012704174228675136,22
S1_V2_FOUNDATION,validation,5803,2025-02-26,2025-02-27,1083.3333740234375,100.0,108333.33740234375,1033.0,2025-02-28,1033.0,100.0,STOP_INTRADAY,-5033.33740234375,-0.04646157427653342,1
S1_V2_FOUNDATION,validation,7182,2025-03-03,2025-03-04,1511.5,100.0,151150.0,1512.0,2025-03-05,1488.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-2350.0,-0.015547469401257029,1
S1_V2_FOUNDATION,validation,5803,2025-03-05,2025-03-06,1050.5,100.0,105050.0,1036.5,2025-03-07,987.1666870117188,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-6333.331298828125,-0.060288732021210135,1
S1_V2_FOUNDATION,validation,6178,2025-03-12,2025-03-13,1555.0,100.0,155500.0,1554.0,2025-03-17,1554.0,100.0,STOP_INTRADAY,-100.0,-0.0006430868167202572,4
S1_V2_FOUNDATION,validation,7269,2025-03-17,2025-03-18,1849.0,100.0,184900.0,1800.5,2025-03-31,1767.5,100.0,STOP_GAP_OPEN,-8150.0,-0.04407787993510005,13
S1_V2_FOUNDATION,validation,8267,2025-04-03,2025-04-04,1250.3333740234375,100.0,125033.33740234375,1240.0,2025-04-07,1218.0,100.0,STOP_GAP_OPEN,-3233.33740234375,-0.025859802429644984,3
S1_V2_FOUNDATION,validation,9434,2025-01-22,2025-01-23,196.0,100.0,19600.0,193.60000000000002,2025-04-07,193.60000000000002,100.0,STOP_INTRADAY,-239.99999999999636,-0.012244897959183487,74
S1_V2_FOUNDATION,validation,9432,2025-06-27,2025-06-30,152.8000030517578,100.0,15280.000305175781,150.70000000000002,2025-07-15,151.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-180.00030517578125,-0.01178012444900344,15
S1_V2_FOUNDATION,validation,9434,2025-07-15,2025-07-16,217.10000000000002,100.0,21710.000000000004,217.10000000000002,2025-07-17,216.60000610351562,100.0,STOP_GAP_OPEN,-49.99938964844114,-0.0023030580215772055,1
S1_V2_FOUNDATION,validation,9434,2025-07-23,2025-07-24,219.0,100.0,21900.0,217.8,2025-07-28,217.8,100.0,STOP_INTRADAY,-120.0,-0.005479452054794521,4
S1_V2_FOUNDATION,validation,8750,2024-11-28,2024-11-29,983.25,100.0,98325.0,244.025,2025-09-30,1150.5,400.0,SMA75_CLOSE_BREAK_NEXT_OPEN,361875.0,3.6803966437833715,305
S1_V2_FOUNDATION,validation,9432,2025-10-03,2025-10-06,157.8000030517578,100.0,15780.000305175781,156.10000000000002,2025-10-07,156.10000000000002,100.0,STOP_INTRADAY,-170.00030517577943,-0.010773149676050383,1
S1_V2_FOUNDATION,validation,6178,2025-10-15,2025-10-16,1442.0,100.0,144200.0,1442.5,2025-10-17,1405.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-3650.0,-0.025312066574202496,1
S1_V2_FOUNDATION,validation,6178,2025-10-20,2025-10-21,1445.5,100.0,144550.0,1446.0,2025-10-22,1436.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-900.0,-0.006226219301279834,1
S1_V2_FOUNDATION,validation,4188,2025-11-04,2025-11-05,833.4000244140625,100.0,83340.00244140625,833.8000000000001,2025-11-06,827.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-640.00244140625,-0.00767941471871465,1
S1_V2_FOUNDATION,validation,4188,2025-11-06,2025-11-07,834.6,100.0,83460.0,835.2,2025-11-10,848.2000122070312,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1360.001220703125,0.016295245874707945,3
S1_V2_FOUNDATION,validation,4188,2025-11-20,2025-11-21,839.9000000000001,100.0,83990.00000000001,840.7,2025-12-08,852.2999877929688,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1239.9987792968604,0.01476364780684439,17
S1_V2_FOUNDATION,validation,8267,2025-04-08,2025-04-09,1259.0,100.0,125900.0,413.3333333333333,2026-01-13,2199.0,300.0,SMA75_CLOSE_BREAK_NEXT_OPEN,533800.0,4.239872915011914,279
S1_V2_FOUNDATION,validation,9022,2026-01-19,2026-01-20,4249.0,100.0,424900.0,4248.0,2026-01-21,4185.0,100.0,STOP_GAP_OPEN,-6400.0,-0.015062367615909626,1
S1_V2_FOUNDATION,validation,6702,2025-10-03,2025-10-06,3899.0,100.0,389900.0,3472.0,2026-01-27,4080.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,18100.0,0.04642215952808412,113
S1_V2_FOUNDATION,validation,9022,2026-01-23,2026-01-26,4280.0,100.0,428000.0,4250.0,2026-01-27,4250.0,100.0,STOP_INTRADAY,-3000.0,-0.007009345794392523,1
S1_V2_FOUNDATION,validation,5401,2025-12-22,2025-12-23,611.5999755859375,100.0,61159.99755859375,512.8000000000001,2026-02-26,627.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1540.00244140625,0.025179897038597254,65
S1_V2_FOUNDATION,validation,7751,2026-01-29,2026-01-30,4665.0,100.0,466500.0,4576.0,2026-03-04,4570.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-9500.0,-0.020364415862808145,33
S1_V2_FOUNDATION,validation,8306,2026-03-05,2026-03-06,2696.0,100.0,269600.0,2673.5,2026-03-09,2579.0,100.0,STOP_GAP_OPEN,-11700.0,-0.043397626112759644,3
S1_V2_FOUNDATION,validation,8308,2026-03-05,2026-03-06,1748.5,100.0,174850.0,1709.5,2026-03-09,1678.0,100.0,STOP_GAP_OPEN,-7050.0,-0.04032027452101802,3
S1_V2_FOUNDATION,validation,8053,2026-03-10,2026-03-11,1475.0,100.0,147500.0,1438.0,2026-03-12,1417.75,100.0,STOP_GAP_OPEN,-5725.0,-0.0388135593220339,1
