code,event_count,5d_n,5d_win_rate,5d_mean_return,5d_median_return,5d_avg_gain,5d_avg_loss,5d_mean_max_up,5d_mean_max_down,5d_best_max_up,5d_worst_max_down,10d_n,10d_win_rate,10d_mean_return,10d_median_return,10d_avg_gain,10d_avg_loss,10d_mean_max_up,10d_mean_max_down,10d_best_max_up,10d_worst_max_down,20d_n,20d_win_rate,20d_mean_return,20d_median_return,20d_avg_gain,20d_avg_loss,20d_mean_max_up,20d_mean_max_down,20d_best_max_up,20d_worst_max_down,40d_n,40d_win_rate,40d_mean_return,40d_median_return,40d_avg_gain,40d_avg_loss,40d_mean_max_up,40d_mean_max_down,40d_best_max_up,40d_worst_max_down
6902,10,8,0.125,-0.02338515396550615,-0.015479502053088349,0.0011539183710123,-0.02689073572786593,0.007841893812505876,-0.035092890721442865,0.019616901429958,-0.0639215936218499,8,0.25,-0.0172872868526388,-0.0168742005104858,0.0092273944169002,-0.02612551394248513,0.010418837637622974,-0.041376039093130354,0.0216940243817684,-0.0884035935469647,6,0.5,-0.018993095857817954,-0.01418502388174375,0.0109700880440842,-0.048956279759720105,0.014214933351096318,-0.07137482233997557,0.0338718082334548,-0.1155574043753032,5,0.2,-0.0603270684586353,-0.057617041815177,0.0140779697662265,-0.07892832801485075,0.02269603847595064,-0.11059525091948093,0.0371396299258484,-0.1383553211438104
7011,10,10,0.8,0.060658359575074206,0.06689263456272705,0.08433821388094788,-0.034061057648420504,0.07392896672067326,-0.04038527782544968,0.1903400060479367,-0.0788781770376862,10,0.7,0.06548936613234577,0.042437603582377456,0.09747604680325307,-0.009146222099771267,0.11698342881585026,-0.04321752183416426,0.2871253479617768,-0.0788781770376862,10,0.8,0.09542749656546293,0.100550306981897,0.12722438481718445,-0.0317600564414232,0.16720855354264041,-0.04859989497685181,0.3836815542330123,-0.0868931393551307,10,0.7,0.11939120085237209,0.10366418307262915,0.24636626407720302,-0.1768839466722333,0.24744094285098464,-0.08650374534089908,0.5243800929625848,-0.2559912854030501
8015,10,10,0.8,0.035329815415510835,0.03755174320996675,0.04966850112822185,-0.0220249274353332,0.05718592514113714,-0.01961070658190957,0.1394037066881546,-0.0457695406929895,10,0.6,0.05489915898723465,0.05788804250570985,0.0989653391946861,-0.01120011132394255,0.0851036988425182,-0.02208596147588201,0.218211120064464,-0.0457695406929895,10,0.9,0.08950657307197314,0.1011647352378061,0.10239591329409696,-0.0264974889271412,0.11727362146876719,-0.027572737461741326,0.218211120064464,-0.0593909145776256,10,0.7,0.06414514997092645,0.07570098249575094,0.11432028979638409,-0.05293017628847474,0.14733890207401962,-0.03702290550408556,0.218211120064464,-0.1129950153693194
8001,10,10,0.5,-0.007636861285566213,-0.0012556377903778,0.02790070409900778,-0.04317442667014021,0.027164493549044773,-0.02674794135683785,0.0680154212329877,-0.1037639934950082,10,0.5,-0.0012021421395884712,0.0051511838635581,0.03029699919697652,-0.03270128347615346,0.03684770684872608,-0.03788109331276375,0.0680154212329877,-0.1136826960789799,10,0.6,0.007110640683933199,0.0089616332475005,0.03157281112692037,-0.029582614980547553,0.052505518371509866,-0.04211161066967961,0.1349343328470731,-0.1136826960789799,10,0.7,0.0301293891772808,0.024606442909241598,0.07447090850173757,-0.07333415591311833,0.08926996606926954,-0.055564505863952986,0.2063615014413626,-0.1489638320117916
9983,10,10,0.4,-0.006156566994387999,-0.01357440650449825,0.020366079516423073,-0.023838331334928714,0.027646102406911576,-0.029551155976731656,0.0844981577511738,-0.0637681961646037,10,0.5,0.011652630101540861,-0.00448595575851865,0.06496737184095816,-0.04166211163787644,0.05803546232532991,-0.038504713625681475,0.1870582161741354,-0.0780834355206341,10,0.4,-0.01691322312048017,-0.031032724183363954,0.05731557525430598,-0.06639908870367094,0.061185537008251634,-0.06816497904609034,0.1889429906621831,-0.1372233195447376,8,0.625,0.03998134630456265,0.03883744443769515,0.08797104035415225,-0.040001477111420033,0.0900323564281926,-0.06266043753889516,0.3020260305126965,-0.0928872277869879
7269,10,10,0.8,0.03384333694665529,0.0396702518092949,0.0491425855350945,-0.02735365740710155,0.05701817548043801,-0.01044108678090743,0.0918011685451918,-0.0690059902998438,10,0.8,0.03076734129130968,0.0203046143371614,0.044800379073980545,-0.0253648098393738,0.07308869312656452,-0.01959651399056723,0.1441122969689505,-0.0873069150920843,10,0.7,0.04644636761932519,0.087132874797668,0.09713510469884916,-0.07182735223289739,0.11892805083695461,-0.046073650471942416,0.2287693791570118,-0.1872832450477044,9,0.6666666666666666,0.04184457811534463,0.0317376236899116,0.08334534742448,-0.0411569605029261,0.16019109064917358,-0.0793550055732046,0.2341163674248443,-0.2829564616925996
8058,10,10,0.9,0.043023080373006235,0.0330552462212493,0.04963731273957791,-0.0165050109261389,0.05583983649163586,-0.00987846419755587,0.10828414410747,-0.0428282828282828,10,0.8,0.06442355637602434,0.05884303295047375,0.08433337104126583,-0.01521570228494155,0.09984495157702258,-0.0126032091168491,0.2236922450641156,-0.0428282828282828,10,1.0,0.08756959149867846,0.08350605679792465,0.08756959149867846,,0.1407804305425288,-0.014636060100862634,0.2236922450641156,-0.0428282828282828,10,0.7,0.06235605046648668,0.0707844722095709,0.13243416187618795,-0.10115954282281629,0.2088807325553482,-0.04181888489363177,0.5272379166829257,-0.1141414141414141
5020,9,9,0.7777777777777778,-0.0114319054531659,0.0148362269909352,0.020587497536622527,-0.1234998159174254,0.025548786219860002,-0.043670212131478654,0.0558139087739411,-0.2536746874798981,9,0.5555555555555556,-0.003089386200749244,0.0041882505914789,0.033192860450983075,-0.04844219451541465,0.04148699697540987,-0.045685721143543793,0.0923587371454055,-0.2536746874798981,9,0.6666666666666666,0.016166692211284424,0.0175766308972036,0.0491437946114144,-0.049787512588975534,0.06499488336998445,-0.053329601743935626,0.1554960205764268,-0.2536746874798981,9,0.8888888888888888,0.07797907930095055,0.0654503321642594,0.09889531906404346,-0.0893508388037928,0.11908383984116656,-0.05772461313201823,0.2975869568455929,-0.2536746874798981
9202,9,9,0.3333333333333333,-0.010848228702925133,-0.0208712024249164,0.02140022730257213,-0.026972456705673765,0.014809321515868711,-0.021306642525957323,0.0571827405513294,-0.0502736065102217,9,0.3333333333333333,-0.013882362023543789,-0.0310943427420451,0.0197977700469964,-0.03072242805881388,0.019997342546222152,-0.030963059542920272,0.0606694844958191,-0.0555458295100692,9,0.4444444444444444,-0.019174421327946792,-0.0252533970567945,0.0137777181729535,-0.045536132928667025,0.021078049311625744,-0.05392708310573991,0.0606694844958191,-0.1087057060128414,9,0.4444444444444444,-0.02172438757106592,-0.0076708119288313,0.014036202970238127,-0.05033286000410916,0.03698560417176014,-0.07581328722356885,0.0643863976768994,-0.1401996456168471
9021,9,9,0.5555555555555556,0.0002983587948445329,0.0026480884898141,0.015134646966634099,-0.018247001419892425,0.021290972414428278,-0.017030130631156097,0.0695636742290131,-0.0435743605936217,9,0.2222222222222222,-0.012908252945509825,-0.0308803023856492,0.053253604639108755,-0.03181164082682942,0.028921778623965142,-0.038409483344778075,0.0986507180112752,-0.0619980055264151,9,0.3333333333333333,-0.024003616821246923,-0.0364949620676459,0.05907641639371567,-0.06554363342872821,0.039082024406853114,-0.06400326207143243,0.1627824080248734,-0.1316703504894222,9,0.2222222222222222,-0.06243939972409232,-0.0499801097372974,0.10212103725146146,-0.10945666743139339,0.047216646016212366,-0.10650447285194602,0.1627824080248734,-0.2254499526365645
8053,9,9,0.7777777777777778,0.024329120960086423,0.0324409306713044,0.0350458900705593,-0.01317957092656865,0.039826158992696856,-0.02605042193603019,0.0820556879109719,-0.0987983789294121,9,1.0,0.039412555489058775,0.0408347628871439,0.039412555489058775,,0.062431111845648854,-0.02791767165198281,0.0935907286571986,-0.0987983789294121,9,0.7777777777777778,0.06086435077650192,0.0796848581484903,0.0821113700305998,-0.0135002166128407,0.09539156321718345,-0.028925481146003032,0.1179672755604011,-0.0987983789294121,9,0.7777777777777778,0.10424336208922885,0.1322833876539673,0.15619424616624247,-0.07758473218031875,0.18873765227531616,-0.08364065362773228,0.3385812209240744,-0.3259007631087233
4689,9,9,0.6666666666666666,0.007225534167892289,0.003671702514397,0.023358123053552917,-0.02503964360342897,0.03235772612095572,-0.018705912343546734,0.0730673012293485,-0.0641587870818064,9,0.6666666666666666,-0.0005354283463830656,0.0024937655860348,0.035346676434527734,-0.07229963790820466,0.04325859552860039,-0.04297312543320004,0.0981205284151642,-0.1421341422802535,9,0.8888888888888888,0.03095420758766983,0.0448582766186806,0.05065796437772198,-0.1266758467327473,0.08271587482318782,-0.04453695767970195,0.1481207080065159,-0.1445963825401497,9,0.7777777777777778,0.08068813254650187,0.1037406635997895,0.13807437485815796,-0.12016371554429454,0.15621104761583982,-0.05801811731209784,0.3273125984633205,-0.2641586251942496
7270,9,9,0.8888888888888888,0.00966868268702472,0.021360991413607,0.0293923763959544,-0.1481208669844127,0.043813972990589374,-0.031404092963597766,0.127331578393969,-0.1989682093042252,9,0.6666666666666666,0.014362454480834175,0.0324404434566814,0.045763513548218164,-0.0484396636539338,0.055585835666145514,-0.03847013102528623,0.1362771408634715,-0.1989682093042252,9,0.5555555555555556,0.014752307195805555,0.0116624533371927,0.04550543514129536,-0.0236891027360567,0.08049281907374858,-0.050421417109869734,0.1362771408634715,-0.1989682093042252,8,0.5,-0.01909172174515945,-0.0127887899819781,0.045839805234729,-0.0840232487250479,0.08797333300395763,-0.11654013088309717,0.1397031238443342,-0.3552083305257096
8306,9,9,0.5555555555555556,0.02792105195004382,0.0059952090010828,0.06297102401189449,-0.021188550836359333,0.042292801385158695,-0.024512473949020775,0.1073125449735432,-0.0768948874806235,9,0.7777777777777778,0.06376622533001748,0.0299662474174449,0.0847020374635172,-0.0095091171372315,0.08728226153387103,-0.028278769519540375,0.2274748672982924,-0.0768948874806235,9,0.8888888888888888,0.07064737246628587,0.0803714215603992,0.08000629640734175,-0.0042240190621612,0.11188604235086684,-0.030772551992606353,0.2274748672982924,-0.0782449301510682,9,0.5555555555555556,0.05037193600275258,0.0668408519735719,0.10512419260849437,-0.018068384754424623,0.13546899812291932,-0.09149214215596188,0.2274748672982924,-0.2402658534803082
6861,9,9,0.5555555555555556,0.02393937709395168,0.0329481037753607,0.06522629780025366,-0.0276692737889258,0.04788168926112731,-0.03540293052099757,0.1260617500337064,-0.087445720059133,9,0.6666666666666666,0.017949120655440933,0.0379506077835654,0.061958409947478886,-0.07006945792863496,0.06665741223376821,-0.045416677020882736,0.1853849265201563,-0.1157943510259142,9,0.6666666666666666,0.06739522969738572,0.0727506027121565,0.14398884597270203,-0.08579200285324695,0.12280334137018421,-0.06669230411230676,0.4429967426710097,-0.1223939950917647,8,0.75,0.09099964641172648,0.09142180015937995,0.17377964100155166,-0.15734033735774905,0.17952929370144582,-0.07798886065645107,0.4509567315980003,-0.1789464612054918
7267,9,9,0.4444444444444444,-0.0037455889151718105,-0.006062695287952,0.018614634549137424,-0.0216337676866192,0.023978113517950612,-0.02858772003327121,0.0565796711703612,-0.0515787269909193,9,0.3333333333333333,-0.012935894364736598,-0.006264249976869,0.021667734876257932,-0.03023770898523387,0.027893632801200045,-0.03802563343108841,0.0565796711703612,-0.0805476287866786,9,0.2222222222222222,-0.04053215821385811,-0.0469649197152211,0.03886973343136685,-0.06321841296963668,0.03226709146183629,-0.06558383307921406,0.0565796711703612,-0.1518624769952912,9,0.3333333333333333,-0.011665868039525878,-0.0261170368055315,0.0702892270639691,-0.05264341559127337,0.06492834508179451,-0.08528467533370679,0.1943652373965769,-0.1989812494828526
6146,9,9,0.4444444444444444,-0.022870077474244833,-0.0400578363248796,0.03323944822785105,-0.06775769803592155,0.025812148411702523,-0.0679371121217559,0.0720791457286431,-0.1535010197144799,9,0.5555555555555556,0.0016612424253485908,0.0452487883166885,0.10356039543935583,-0.12571269884216044,0.07327322670907731,-0.09480882394818312,0.1573675898996738,-0.328348062542488,9,0.5555555555555556,0.047180324655538404,0.0814479521277895,0.16128540152221263,-0.09545102142780437,0.13526518154340184,-0.11618561716473447,0.2940326400081359,-0.328348062542488,7,1.0,0.20578003876803225,0.2220904957937901,0.20578003876803225,,0.27929263072217647,-0.07132910351645232,0.4506029347124829,-0.1514328922207317
4452,9,9,0.4444444444444444,-0.00852774716116391,-0.0065163197707841,0.014298359720085375,-0.026788632666163343,0.01190730197986039,-0.024670281573505492,0.0302141616401745,-0.0481856301996344,9,0.4444444444444444,-0.005893363899393433,-0.0139466979151486,0.029747904798237704,-0.034406378857498345,0.021094196845678155,-0.035199429309103074,0.067383444585944,-0.0904950974106264,9,0.3333333333333333,-0.011677419718073102,-0.0105052962811815,0.06249750699990033,-0.04876488307705982,0.03690117241977117,-0.05360959122675171,0.1222800061895157,-0.136071688229845,9,0.6666666666666666,0.013011756720796318,0.0311538962071669,0.052888145783941416,-0.06674102140549387,0.05766341166821392,-0.061122352839370765,0.1222800061895157,-0.1468899142630541
