date,equity,cash,holding_code,scheduled_code
2023-04-12,294056.57565002434,294056.57565002434,,6367
2023-04-13,294056.57565002434,294056.57565002434,,
2023-04-14,294056.57565002434,294056.57565002434,,9434
2023-04-17,294004.3817565917,141704.3787048339,9434,
2023-04-18,295404.3756530761,141704.3787048339,9434,
2023-04-19,295054.38480834954,141704.3787048339,9434,
2023-04-20,294454.3787048339,141704.3787048339,9434,
2023-04-21,293854.3726013183,141704.3787048339,9434,
2023-04-24,293404.3756530761,141704.3787048339,9434,
2023-04-25,293904.3756530761,141704.3787048339,9434,
2023-04-26,294604.3726013183,141704.3787048339,9434,
2023-04-27,293954.3787048339,141704.3787048339,9434,
2023-04-28,294854.3726013183,141704.3787048339,9434,
2023-05-01,295354.3726013183,141704.3787048339,9434,
2023-05-02,294804.38480834954,141704.3787048339,9434,
2023-05-08,295904.3756530761,141704.3787048339,9434,
2023-05-09,296004.3817565917,141704.3787048339,9434,
2023-05-10,295054.38480834954,141704.3787048339,9434,
2023-05-11,293202.7226074218,293202.7226074218,,4568
2023-05-12,293202.7226074218,293202.7226074218,,
2023-05-15,293202.7226074218,293202.7226074218,,4452
2023-05-16,293202.7226074218,293202.7226074218,,4063
2023-05-17,293202.7226074218,293202.7226074218,,
2023-05-18,293202.7226074218,293202.7226074218,,5802
2023-05-19,293202.7226074218,293202.7226074218,,
2023-05-22,293202.7226074218,293202.7226074218,,5020
2023-05-23,293391.35527954093,151701.3589416503,5020,
2023-05-24,295371.3571105956,151701.3589416503,5020,
2023-05-25,295431.360772705,151701.3589416503,5020,
2023-05-26,293391.35527954093,151701.3589416503,5020,
2023-05-29,294651.3589416503,151701.3589416503,5020,
2023-05-30,294291.35527954093,151701.3589416503,5020,
2023-05-31,290841.35527954093,151701.3589416503,5020,
2023-06-01,290201.2954572404,290201.2954572404,,4568
2023-06-02,290201.2954572404,290201.2954572404,,9432
2023-06-05,290201.2954572404,290201.2954572404,,5802
2023-06-06,290201.2954572404,290201.2954572404,,
2023-06-07,290201.2954572404,290201.2954572404,,
2023-06-08,290201.2954572404,290201.2954572404,,
2023-06-09,290201.2954572404,290201.2954572404,,3382
2023-06-12,290201.2954572404,290201.2954572404,,
2023-06-13,290201.2954572404,290201.2954572404,,
2023-06-14,290201.2954572404,290201.2954572404,,2503
2023-06-15,291538.2954572404,76988.29545724043,2503,
2023-06-16,293038.2954572404,76988.29545724043,2503,
2023-06-19,292588.2954572404,76988.29545724043,2503,
2023-06-20,294238.2954572404,76988.29545724043,2503,
2023-06-21,293988.2954572404,76988.29545724043,2503,
2023-06-22,295038.2954572404,76988.29545724043,2503,
2023-06-23,295288.2954572404,76988.29545724043,2503,
2023-06-26,294888.2954572404,76988.29545724043,2503,
2023-06-27,292738.2954572404,76988.29545724043,2503,
2023-06-28,294788.2954572404,76988.29545724043,2503,
2023-06-29,289903.7383143833,289903.7383143833,,
2023-06-30,289903.7383143833,289903.7383143833,,
2023-07-03,289903.7383143833,289903.7383143833,,
2023-07-04,289903.7383143833,289903.7383143833,,
2023-07-05,289903.7383143833,289903.7383143833,,
2023-07-06,289903.7383143833,289903.7383143833,,
2023-07-07,289903.7383143833,289903.7383143833,,
