code,asof,snapshot_generated_jst,open,high,low,close,adj_close,volume,sma25,sma75,sma75_5,prev_adj_close,fresh_75_cross_up,sma75_rising_5d,sma25_above_sma75,price_le_sma25,v2_foundation,lot_cost_100_shares_jpy,affordable_with_300k
8729,2026-09-07,2026-09-07T14:27:09.498596+09:00,164.5,166.1999969482422,161.0,161.1999969482422,161.1999969482422,37124400,158.16400146484375,150.476000773112,149.42533386230468,165.10000610351562,False,True,True,False,False,16119.999694824219,True
8750,2026-09-07,2026-09-07T14:27:09.498596+09:00,1880.0,1895.0,1850.0,1864.5,1864.5,3714800,1850.92,1807.06,1792.02,1877.5,False,True,True,False,False,186450.0,True
8766,2026-09-07,2026-09-07T14:27:09.498596+09:00,7997.0,8097.0,7913.0,7963.0,7963.0,2762500,7649.4,7538.093333333333,7527.16,7976.0,False,True,True,False,False,796300.0,False
8801,2026-09-07,2026-09-07T14:27:09.498596+09:00,1526.5,1527.0,1494.5,1496.0,1496.0,4642200,1493.38,1514.9333333333334,1515.0466666666666,1510.0,False,False,False,False,False,149600.0,True
8802,2026-09-07,2026-09-07T14:27:09.498596+09:00,3750.0,3751.0,3662.0,3666.0,3666.0,1178900,3726.2,3970.0,3990.5733333333333,3693.0,False,False,False,True,False,366600.0,False
8830,2026-09-07,2026-09-07T14:27:09.498596+09:00,3277.0,3277.0,3207.0,3213.0,3213.0,1036100,3381.08,3580.0933333333332,3624.3866666666668,3238.0,False,False,False,True,False,321300.0,False
9020,2026-09-07,2026-09-07T14:27:09.498596+09:00,3500.0,3540.0,3488.0,3499.0,3499.0,1207900,3502.64,3494.8533333333335,3507.88,3520.0,False,False,True,True,False,349900.0,False
9021,2026-09-07,2026-09-07T14:27:09.498596+09:00,3019.0,3037.0,2991.0,2992.0,2992.0,691100,2943.08,2817.866666666667,2799.5533333333333,3020.0,False,True,True,False,False,299200.0,True
9022,2026-09-07,2026-09-07T14:27:09.498596+09:00,3885.0,3899.0,3796.0,3802.0,3802.0,807500,3885.32,3671.0,3649.346666666667,3857.0,False,True,True,True,False,380200.0,False
9101,2026-09-07,2026-09-07T14:27:09.498596+09:00,7248.0,7465.0,7231.0,7407.0,7407.0,2414000,6685.52,5884.44,5774.32,7158.0,False,True,True,False,False,740700.0,False
9104,2026-09-07,2026-09-07T14:27:09.498596+09:00,7025.0,7224.0,6995.0,7173.0,7173.0,2644300,6721.68,5924.946666666667,5839.946666666667,6969.0,False,True,True,False,False,717300.0,False
9202,2026-09-07,2026-09-07T14:27:09.498596+09:00,3007.0,3015.0,2987.5,2991.0,2991.0,1334400,3063.9,3006.98,2990.48,2999.5,False,True,True,True,False,299100.0,True
9432,2026-09-07,2026-09-07T14:27:09.498596+09:00,172.60000610351562,172.6999969482422,168.6999969482422,169.0,169.0,162943500,163.8959991455078,153.83866638183594,152.55999959309895,172.60000610351562,False,True,True,False,False,16900.0,True
9433,2026-09-07,2026-09-07T14:27:09.498596+09:00,2982.0,2995.0,2946.0,2952.0,2952.0,2825200,2901.74,2811.8733333333334,2795.4333333333334,2981.0,False,True,True,False,False,295200.0,True
9434,2026-09-07,2026-09-07T14:27:09.498596+09:00,239.39999389648438,239.5,236.8000030517578,238.1999969482422,238.1999969482422,30787000,234.11599975585938,221.5893341064453,220.6933339436849,239.1999969482422,False,True,True,False,False,23819.99969482422,True
9735,2026-09-07,2026-09-07T14:27:09.498596+09:00,6314.0,6380.0,6287.0,6292.0,6292.0,424700,6490.8,6539.28,6530.333333333333,6401.0,False,True,False,True,False,629200.0,False
9983,2026-09-07,2026-09-07T14:27:09.498596+09:00,69460.0,70250.0,69300.0,69330.0,69330.0,522400,74234.841875,78280.1396875,78464.05979166667,69100.0,False,False,False,True,False,6933000.0,False
9984,2026-09-07,2026-09-07T14:27:09.498596+09:00,5842.0,6179.0,5814.0,6140.0,6140.0,67043200,5417.28,6135.92,6147.386666666666,5590.0,True,False,False,False,False,614000.0,False
