strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-06,146879.9981689453,151500.0,298379.9981689453,0.5077418088668912,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-07,146879.9981689453,154000.0,300879.9981689453,0.5118319627000543,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-08,146879.9981689453,152500.0,299379.9981689453,0.5093860676488534,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-11,146879.9981689453,155300.0030517578,302180.0012207031,0.5139321014772629,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-12,146879.9981689453,154600.00610351562,301480.00427246094,0.5128035156978328,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-13,146879.9981689453,154699.9969482422,301579.9951171875,0.5129650489188751,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-14,146879.9981689453,154100.00610351562,300980.00427246094,0.5119941654463438,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-15,146879.9981689453,154050.0030517578,300930.0012207031,0.5119130775491441,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-19,146879.9981689453,153949.9969482422,300829.9951171875,0.5117508208856347,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-20,146879.9981689453,155050.0030517578,301930.0012207031,0.513529634103569,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-21,146879.9981689453,155350.00610351562,302230.00427246094,0.5140125199596903,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-22,146879.9981689453,154899.99389648438,301779.9920654297,0.5132878188388981,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-25,146879.9981689453,154149.99389648438,301029.9920654297,0.51207520167286,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-26,146879.9981689453,154800.0030517578,301680.0012207031,0.5131264996863654,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-27,146879.9981689453,154050.0030517578,300930.0012207031,0.5119130775491441,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-28,146879.9981689453,155199.9969482422,302079.9951171875,0.5137711846427786,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-29,146879.9981689453,153850.00610351562,300730.00427246094,0.5115884810885971,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-08-01,146879.9981689453,153350.00610351562,300230.00427246094,0.5107750855052761,1
